Id,Location,Size,Bedrooms,Bathrooms,Year_Built,Price
1,Bangalore,1200 sqft,2.0,2.0,2000.0,7091272
2,Bangalore,900sqft,2.0,1.0,2015.0,5938068
3,Delhi,900sqft,4.0,,,3396992
4,Gurgaon,800 sqft,3.0,1.0,,5019172
5,Noida,2000 sqft,,1.0,2018.0,3363581
6,Mumbai,1800 sqft,1.0,3.0,2005.0,8436054
7,Delhi,1800 sqft,3.0,2.0,2008.0,4179488
8,Gurgaon,1500sqft,,2.0,2010.0,5004043
9,Bangalore,NaN,1.0,,2000.0,5192047
10,Delhi,,4.0,1.0,2008.0,2784512
11,Gurgaon,1200 sqft,,1.0,2005.0,5648721
12,Noida,800 sqft,2.0,2.0,2015.0,3451454
13,Mumbai,,4.0,3.0,2005.0,5955415
14,Delhi,,2.0,2.0,2015.0,3129226
15,Gurgaon,1200 sqft,2.0,1.0,2018.0,5535456
16,Pune,1000 sqft,,2.0,2010.0,4808152
17,Bangalore,,3.0,1.0,2018.0,5246794
18,Pune,1200 sqft,2.0,1.0,1995.0,4736737
19,Gurgaon,1200 sqft,3.0,2.0,1998.0,5683889
20,Mumbai,,3.0,1.0,,6088964
21,Noida,800 sqft,1.0,3.0,2005.0,3329332
22,Mumbai,2000 sqft,1.0,1.0,1995.0,8241433
23,Mumbai,1800 sqft,3.0,2.0,2000.0,8284820
24,Gurgaon,1000 sqft,2.0,1.0,2010.0,5404629
25,Delhi,2000 sqft,3.0,2.0,2000.0,4137417
26,Bangalore,2000 sqft,1.0,1.0,1998.0,6866129
27,Gurgaon,1200 sqft,1.0,,2008.0,5388505
28,Delhi,1200 sqft,,1.0,2018.0,4157151
29,Delhi,900sqft,2.0,1.0,,3609050
30,Bangalore,NaN,3.0,3.0,2000.0,5056719
31,Pune,1200 sqft,2.0,1.0,2010.0,4745582
32,Delhi,,4.0,2.0,2015.0,3172838
33,Gurgaon,1500sqft,,2.0,2012.0,5097901
34,Delhi,,4.0,1.0,2015.0,2901101
35,Delhi,,3.0,1.0,2000.0,3105977
36,Bangalore,1500sqft,4.0,2.0,2018.0,6602307
37,Gurgaon,1800 sqft,4.0,2.0,1998.0,5405719
38,Bangalore,1800 sqft,1.0,1.0,1998.0,6894520
39,Noida,2000 sqft,4.0,,2012.0,3479796
40,Mumbai,1800 sqft,3.0,,2012.0,8150121
41,Gurgaon,NaN,,1.0,2000.0,3753778
42,Delhi,800 sqft,2.0,2.0,2015.0,3958672
43,Gurgaon,900sqft,3.0,,2008.0,4955610
44,Delhi,1500sqft,3.0,2.0,2005.0,3662671
45,Bangalore,1800 sqft,3.0,1.0,,6822153
46,Pune,,1.0,3.0,2012.0,3476699
47,Pune,2000 sqft,2.0,2.0,2012.0,5040834
48,Pune,1200 sqft,3.0,3.0,2010.0,4955478
49,Gurgaon,2000 sqft,1.0,2.0,1998.0,5687470
50,Pune,800 sqft,,3.0,1998.0,4327456
51,Mumbai,,4.0,,1998.0,5902968
52,Gurgaon,1800 sqft,3.0,,1998.0,5665632
53,Pune,,1.0,,2012.0,3379343
54,Gurgaon,,3.0,1.0,2008.0,3820461
55,Delhi,1200 sqft,,1.0,1995.0,3956385
56,Gurgaon,800 sqft,2.0,2.0,2018.0,5379216
57,Pune,,,3.0,1995.0,3434163
58,Noida,NaN,2.0,1.0,2018.0,2618172
59,Delhi,1500sqft,3.0,2.0,,4089785
60,Bangalore,1800 sqft,2.0,1.0,2012.0,7065765
61,Pune,NaN,2.0,,2008.0,3537978
62,Delhi,,2.0,3.0,2005.0,3166386
63,Gurgaon,1000 sqft,,2.0,1995.0,5470964
64,Pune,800 sqft,,2.0,2018.0,4365810
65,Mumbai,1500sqft,4.0,2.0,,8004557
66,Gurgaon,800 sqft,2.0,1.0,,5417168
67,Mumbai,800 sqft,,3.0,2012.0,7848635
68,Mumbai,NaN,,2.0,2008.0,5967322
69,Pune,NaN,4.0,1.0,2015.0,3610451
70,Mumbai,,3.0,1.0,1995.0,6199802
71,Mumbai,1000 sqft,2.0,1.0,2000.0,8395691
72,Delhi,,4.0,2.0,2005.0,2862308
73,Pune,,4.0,,2012.0,3645772
74,Bangalore,800 sqft,3.0,2.0,,6344999
75,Gurgaon,900sqft,2.0,2.0,1995.0,4986284
76,Delhi,1200 sqft,2.0,2.0,2010.0,4155477
77,Pune,NaN,2.0,3.0,2015.0,3252380
78,Bangalore,1200 sqft,2.0,3.0,1995.0,7121139
79,Bangalore,900sqft,2.0,,1995.0,6029886
80,Pune,900sqft,1.0,2.0,2012.0,4366999
81,Noida,,,1.0,1998.0,2648506
82,Mumbai,,3.0,,2012.0,6034226
83,Gurgaon,,2.0,1.0,2012.0,3792559
84,Bangalore,,2.0,3.0,2005.0,5017200
85,Gurgaon,,,1.0,1998.0,4202559
86,Gurgaon,1000 sqft,1.0,1.0,2015.0,5398230
87,Delhi,900sqft,2.0,,2015.0,3445700
88,Pune,800 sqft,3.0,,2015.0,4431758
89,Noida,1200 sqft,1.0,1.0,,3442831
90,Noida,1800 sqft,3.0,3.0,2005.0,3725055
91,Noida,1000 sqft,2.0,2.0,2008.0,3638592
92,Mumbai,NaN,2.0,2.0,1995.0,6154107
93,Noida,900sqft,2.0,,2018.0,2907425
94,Pune,2000 sqft,,1.0,2008.0,4678693
95,Gurgaon,1200 sqft,3.0,1.0,1998.0,5434559
96,Bangalore,1800 sqft,4.0,2.0,2008.0,6763833
97,Mumbai,900sqft,1.0,,1995.0,7030639
98,Gurgaon,800 sqft,3.0,1.0,2005.0,4989907
99,Gurgaon,900sqft,3.0,1.0,2015.0,4995956
